"Genome","# Biosynthetic Regions","# Biosynthetic Products","RiPPs","RiPPs:Proteusins","NRPS","PKSI","Other PKS","Saccharides","Terpenes","Other","Mean Completeness","Mean Contamination","Differential Coverage Index","CheckM Completeness","CheckM Contamination","CheckM Strain heterogeneity","Anvio Completion","Anvio Redundancy","# tRNAs (AA)","16S rRNA","16S rRNA (partial)","# CRISPRs","GTDB Taxonomy","Checkm Taxonomy","Anvio Domain","SpecI Species Cluster","mOTUs Species Cluster","dRep Species Cluster","Dereplication Representative Genome","Genome size","# scaffolds","N50 (scaffolds)","Longest scaffold","Coding density","GC Content","station","depth","depth layer","latitude","longitude","date","size fraction","temperature (°C)","oxygen (µmol/kg)","detected in the water column"
"TARA_SAMEA2622119_METAG_PIMPAEMO","14","18","3","0","8","2","0","0","0","5","97.74","2.2","28","97.65","2.95","0","97.84","1.44","14","0","0","2","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Ketobacteraceae;g__Ketobacter;s__Ketobacter sp002471665","c__Gammaproteobacteria","BACTERIA","cluster_1656","meta_mOTU_v25_14491","704_1",FALSE,"5373921","160","59298","219561","0.9167","0.5423","TARA_100","50","EPI","-12.9723","-96.0122","2011-04-15 19:38:00","0.22-3","22.5967","216.6781",TRUE
"TARA_SAMEA2620672_METAG_ILIJGAAN","17","17","16","0","0","0","0","0","1","0","73.06","0.82","8","84.25","1.63","28.57","61.87","0","13","0","0","0","d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp002693285","p__Cyanobacteria","BACTERIA","cluster_4016","gom_001175","217_1",FALSE,"2066652","170","22209","57779","0.9015","0.5863","TARA_057","5","EPI","-17.0248","42.7401","2010-06-27 12:05:00","0.22-3","26.5535","194.0609",TRUE
"TARA_SAMEA2623673_METAG_INBBCOBA","15","17","3","0","8","2","0","0","0","4","96.96","2.5","28","97.53","2.85","0","96.4","2.16","17","0","0","3","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Ketobacteraceae;g__Ketobacter;s__Ketobacter sp002471665","c__Gammaproteobacteria","BACTERIA","cluster_1656","meta_mOTU_v25_14491","704_1",FALSE,"5435518","277","29228","96751","0.9179","0.5418","TARA_146","5","EPI","34.6712","-71.3093","2012-02-15 12:54:00","0.22-3","19.3128","213.9635",TRUE
"MALA_SAMN05422189_METAG_HFLHJDGN","15","17","8","2","2","1","2","0","1","3","88.02","11.11","12","86.11","9.99","5.88","89.93","12.23","19","0","0","1","d__Bacteria;p__Eremiobacterota;c__UBP9;o__UBA4705;f__;g__;s__","k__Bacteria","BACTERIA","cluster_5096","gom_000880","C1",FALSE,"8261906","1465","6723","27183","0.9219","0.572","82","2150","BAT","-25.49","-179.52","2011-04-19 00:00:00","0.8-20","2.0126","139.1121",TRUE
"TARA_SAMEA2622901_METAG_ONLLOMFJ","14","17","2","0","5","3","1","0","2","4","96.68","9.98","4","96.97","8.46","0","96.4","11.51","20","0","0","16","d__Bacteria;p__Myxococcota;c__UBA6777;o__UBA6777;f__UBA6777;g__UBA6777;s__UBA6777 sp002731275","c__Deltaproteobacteria","BACTERIA","cluster_3523","meta_mOTU_v25_13408","144_1",FALSE,"10592879","225","75499","286985","0.8896","0.5118","TARA_128","5","EPI","0.0003","-153.6759","2011-09-04 18:00:00","0.22-3","26.2184","180.6738",TRUE
"TARA_SAMEA2623350_METAG_DDHLMPBK","14","17","2","0","5","3","1","0","2","4","96.68","9.34","4","96.97","7.17","0","96.4","11.51","20","0","0","16","d__Bacteria;p__Myxococcota;c__UBA6777;o__UBA6777;f__UBA6777;g__UBA6777;s__UBA6777 sp002731275","c__Deltaproteobacteria","BACTERIA","cluster_3523","meta_mOTU_v25_13408","144_1",FALSE,"10375153","224","71092","410039","0.8902","0.5121","TARA_138","5","EPI","6.3332","-102.9432","2011-12-10 14:08:00","0.22-3","26.6055","196.2029",TRUE
"TARA_SAMEA2622765_METAG_MAMIPFJC","13","17","3","0","7","2","0","0","0","5","98.53","1.74","12","97.78","2.76","0","99.28","0.72","19","0","0","3","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Ketobacteraceae;g__Ketobacter;s__Ketobacter sp002471665","c__Gammaproteobacteria","BACTERIA","cluster_1656","meta_mOTU_v25_14491","704_1",FALSE,"5578907","25","553401","751704","0.9169","0.5414","TARA_124","5","EPI","-9.1504","-140.5216","2011-08-04 18:33:00","0.45-0.8","26.5724","190.3782",TRUE
"TARA_SAMEA2622716_METAG_HLCJJFFL","13","17","3","0","7","2","0","0","0","5","99.08","1.74","12","98.89","2.76","0","99.28","0.72","19","0","0","3","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Ketobacteraceae;g__Ketobacter;s__Ketobacter sp002471665","c__Gammaproteobacteria","BACTERIA","cluster_1656","meta_mOTU_v25_14491","704_1",FALSE,"5413523","24","368918","751931","0.9166","0.5414","TARA_123","5","EPI","-8.9068","-140.283","2011-07-31 17:20:00","0.45-0.8","26.5867","189.6701",TRUE
"TARA_SAMEA2622823_METAG_INOAMIGG","13","17","3","0","7","2","0","0","0","5","98.9","02.01","12","98.52","2.58","0","99.28","1.44","18","0","0","4","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Ketobacteraceae;g__Ketobacter;s__Ketobacter sp002471665","c__Gammaproteobacteria","BACTERIA","cluster_1656","meta_mOTU_v25_14491","704_1",FALSE,"5476063","42","282415","418141","0.9155","0.5408","TARA_125","5","EPI","-8.9111","-142.5571","2011-08-08 17:33:00","0.45-0.8","26.806","187.3321",TRUE
"TARA_SAMEA2622766_METAG_KENIBHCH","12","16","3","0","6","2","0","0","0","5","99.08","1.74","28","98.89","2.76","0","99.28","0.72","19","0","0","2","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Ketobacteraceae;g__Ketobacter;s__Ketobacter sp002471665","c__Gammaproteobacteria","BACTERIA","cluster_1656","meta_mOTU_v25_14491","704_1",TRUE,"5446830","23","398548","1000155","0.9165","0.5415","TARA_124","5","EPI","-9.1504","-140.5216","2011-08-04 18:33:00","0.22-3","26.5724","190.3782",TRUE
"TARA_SAMEA2622119_METAG_PPKCDGLG","15","15","4","0","3","1","1","0","3","3","93.36","6.91","5","91.76","6.63","0","94.96","7.19","21","1","0","1","d__Bacteria;p__Planctomycetota;c__UBA8742;o__;f__;g__;s__","k__Bacteria","BACTERIA","cluster_4513","gom_001364","927_1",FALSE,"10433274","1260","10782","49719","0.9151","0.716","TARA_100","50","EPI","-12.9723","-96.0122","2011-04-15 19:38:00","0.22-3","22.5967","216.6781",TRUE
"MALA_SAMN05422147_METAG_DIMFAPIO","15","15","1","0","5","2","2","0","2","3","92.68","3.81","27","93.27","1.86","10","92.09","5.76","20","0","0","2","d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus;s__Rhodococcus sp001942265","o__Actinomycetales","BACTERIA","cluster_5078","gom_000881","790_1",FALSE,"4852351","649","9598","51296","0.9094","0.6402","41","4001","BAT","-31.81","6.84","2011-02-02 00:00:00","0.8-20","1.4922","205.7978",TRUE
"TARA_SAMEA2623756_METAG_CHDMOBPJ","14","14","1","0","2","1","3","0","3","4","98.02","04.04","10","96.77","03.03","0","99.28","05.04","19","0","0","1","d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__SG8-38;g__UBA1660;s__UBA1660 sp002320815","c__Deltaproteobacteria","BACTERIA","cluster_3458","gom_001527","371_1",TRUE,"7999412","108","123845","435127","0.9256","0.7154","TARA_148b","250","MES","34.1504","-56.9684","2012-02-27 15:28:00","0.22-3","18.1292","192.2462",TRUE
"MALA_SAMN05422160_METAG_ANLEPEDM","14","14","1","0","7","0","2","0","2","2","77.97","3.7","27","83.28","03.09","16.67","72.66","4.32","19","0","0","2","d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus;s__Rhodococcus sp001942265","o__Actinomycetales","BACTERIA","cluster_5078","gom_000881","790_1",FALSE,"4407326","911","5577","20244","0.9114","0.6401","121","3008","BAT","10.0927","-99.2462","2011-03-06 00:00:00","0.2-0.8","1.6156","103.806",TRUE
"TARA_SAMEA4398360_METAG_PDKANFIF","12","14","2","0","9","3","0","0","0","0","79.65","1.74","1","83.76","02.04","0","75.54","1.44","11","0","0","0","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Ketobacteraceae;g__Ketobacter;s__","c__Gammaproteobacteria","BACTERIA","cluster_2933","gom_000913","425_1",FALSE,"4522282","562","9903","33987","0.8814","0.5012","TARA_209","351","MES","64.7","-52.996","2013-10-23 17:36:00","<-0.22","4.2017","273.0283",TRUE
"TARA_SAMEA4397666_METAG_KIBCBFEH","13","13","2","0","5","0","0","0","2","4","95.87","1.24","2","98.21","01.04","0","93.53","1.44","15","0","0","0","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E brenneri_B","g__Pseudomonas","BACTERIA","cluster_5630","ref_mOTU_v25_00122","690_0",TRUE,"6081552","230","40045","158392","0.8894","0.6001","TARA_189","5","EPI","77.9028","117.1545","2013-08-27 01:53:00","<-0.22","0.1015","363.6485",TRUE
"MALA_SAMN05422170_METAG_EDLGNPJL","13","13","0","0","6","1","2","0","2","2","87.23","3.91","27","85.97","02.06","0","88.49","5.76","20","0","0","2","d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus;s__Rhodococcus sp001942265","o__Actinomycetales","BACTERIA","cluster_5078",NA,"790_1",FALSE,"4456156","883","6123","24661","0.9114","0.6398","77","4001","BAT","-38.64","150.41","2011-03-27 00:00:00","0.8-20","0.8366","179.3173",TRUE
"TARA_SAMEA4398387_METAG_JJNBKCLE","12","13","3","0","2","0","0","0","2","6","96.62","3.82","12","96.12","5.48","8.57","97.12","2.16","19","0","0","0","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536;g__UBA11873;s__","c__Gammaproteobacteria","BACTERIA","cluster_1610","gom_001759","288_1",FALSE,"5804638","246","45276","219933","0.8885","0.6234","TARA_210","5","EPI","61.5427","-55.9869","2013-10-27 10:16:00","<-0.22","5.2953","293.8467",TRUE
"TARA_SAMEA4398111_METAG_GFHMNJCF","11","13","1","0","3","1","1","0","1","6","98.39","0.16","29","98.22","0.32","100","98.56","0","19","0","0","0","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Sulfitobacter_C;s__Sulfitobacter_C sp000620505","f__Rhodobacteraceae","BACTERIA","cluster_1504","ref_mOTU_v25_04204","1264_2",TRUE,"4510351","140","95553","327074","0.9129","0.621","TARA_205","5","EPI","72.4693","-71.892","2013-10-08 12:15:00","<-0.22","-0.4792","353.1935",TRUE
"TARA_SAMEA4398027_METAG_FDKLNHGC","11","13","1","0","3","1","1","0","1","6","92.37","0","25","97.69","0","0","87.05","0","19","0","0","0","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Sulfitobacter_C;s__Sulfitobacter_C sp000620505","f__Rhodobacteraceae","BACTERIA","cluster_1504","ref_mOTU_v25_04204","1264_2",FALSE,"4552536","40","215058","322417","0.9133","0.6211","TARA_201","5","EPI","74.2987","-85.7806","2013-09-30 15:02:00","<-0.22","-1.3299","368.5247",TRUE
"TARA_SAMEA4398168_METAG_NGBJHDBI","11","13","1","0","3","1","1","0","1","6","92","0","30","98.4","0","0","85.61","0","18","0","0","0","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Sulfitobacter_C;s__Sulfitobacter_C sp000620505","f__Rhodobacteraceae","BACTERIA","cluster_1504","ref_mOTU_v25_04204","1264_2",FALSE,"4527829","12","758575","1675346","0.9129","0.621","TARA_205","491","MES","72.4456","-71.8814","2013-10-08 18:24:00","<-0.22","1.2309","227.316",TRUE
"TARA_SAMEA4397023_METAG_OPBOBABD","11","13","1","0","3","1","1","0","1","6","89.46","0","25","96.2","0","0","82.73","0","18","0","0","0","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Sulfitobacter_C;s__Sulfitobacter_C sp000620505","f__Rhodobacteraceae","BACTERIA","cluster_1504","ref_mOTU_v25_04204","1264_2",FALSE,"4430001","68","136323","330632","0.9123","0.6211","TARA_158","651","MES","67.1675","0.2177","2013-06-04 09:05:00","<-0.22","0.225","295.3109",TRUE
"TARA_SAMEA4397051_METAG_PCLNEFKO","11","13","1","0","3","1","1","0","1","6","99.48","0.89","33","99.68","0.34","50","99.28","1.44","19","0","0","0","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Sulfitobacter_C;s__Sulfitobacter_C sp000620505","f__Rhodobacteraceae","BACTERIA","cluster_1504","ref_mOTU_v25_04204","1264_2",FALSE,"4509332","42","220916","670464","0.9109","0.6205","TARA_163","5","EPI","76.1825","1.3918","2013-06-09 07:39:00","<-0.22","1.8996","363.0008",TRUE
"TARA_SAMEA2622923_METAG_DNGLHAAI","9","13","2","0","6","2","2","0","0","1","96.96","1.26","1","98.97","0.35","0","94.96","2.16","21","0","0","0","d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfobacter;s__Desulfobacter sp003538835","c__Deltaproteobacteria","BACTERIA","cluster_4535","meta_mOTU_v25_14463","2321_1",TRUE,"5883247","390","21405","75973","0.9072","0.5323","TARA_128","40","EPI","0.0222","-153.6858","2011-09-05 18:40:00","0.22-3","26.1393","177.6731",TRUE
"TARA_SAMEA4398001_METAG_ICBKCJOL","12","12","1","0","3","0","1","0","1","6","72.46","8.4","28","80.17","10.34","100","64.75","6.47","17","0","0","0","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Sulfitobacter_C;s__Sulfitobacter_C sp000620505","k__Bacteria","BACTERIA","cluster_1504","ref_mOTU_v25_04204","1264_2",FALSE,"4519637","311","20461","73288","0.9016","0.622","TARA_201","441","MES","74.305","-85.6552","2013-09-29 16:37:00","<-0.22","0.994","233.314",TRUE
"TARA_SAMEA2623116_METAG_MLHPBBMM","12","12","9","0","0","0","1","0","2","0","95.54","0.9","5","94.69","01.09","25","96.4","0.72","19","0","0","0","d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp003210755","p__Cyanobacteria","BACTERIA","cluster_4140","meta_mOTU_v25_13095","184_1",TRUE,"2399159","155","28449","144023","0.8579","0.5024","TARA_133","5","EPI","35.3671","-127.7422","2011-10-18 15:35:00","0.22-3","19.248","223.159",TRUE
